Topic,Count,Name,Representation,Representative_Docs
-1,381,-1_food_students_provide_housing,"['food', 'students', 'provide', 'housing', 'staff', 'campus', 'food pantry', 'pantry', 'employees', 'help']","['offer housing options to both employees and students, along with better benifits that support our living situations and need for healthier food options. would also like to see local food vendors/resources provided on campus so that those with full time jobs can stop by', 'provide limited meal plans to all students, staff, and faculty. provide expanded meal plans and housing stipends to students, staff, and faculty who meet a need based requirement.', ""make the food on campus better to eat. most students are afraid of getting sick from it...spreading food access across campus instead of just on one side of campus...in terms of housing--there are too many gun fires at off-campus housing neighborhoods, so students don't feel safe living there...too many slumlords with severely over-priced housing available in the community (off campus) but students choose off-campus so they don't have to pay for on-campus food""]"
0,86,0_campus_food_food options_options,"['campus', 'food', 'food options', 'options', 'options campus', 'food campus', 'food students', 'meal', 'affordable', 'students']","['offer affordable food options on campus.', 'more affordable, healthy food options on campus', 'have food options on campus']"
1,68,1_pantry_food pantry_cnm_food,"['pantry', 'food pantry', 'cnm', 'food', 'great', 'unm', 'pantries', 'pantry great', 'think', 'students']","[""unm's food pantry is a great option for the students, hopefully it will continue to be successful and can expand to also serve unm employees who need it. i think more advertisement/awareness of the panty is needed."", 'i think the food pantry is a great wait to address food insecurity, but i think we need to do more at cnm. i would love to see the food pantry grow to more- become a place where students, staff and faculty can go for clothing, furniture, assistance with apply for state/government assistance, legal and mental counseling, etc.', 'have a campus food pantry']"
2,35,2_housing_campus housing_student housing_new,"['housing', 'campus housing', 'student housing', 'new', 'housing campus', 'student', 'campus', 'affordable', 'staff', 'dorm']","['!. offer healthy, affordable food on campus. 2. have an affordable houing center to refer students and workers to affordable housing. 3. take an active voice in protesting and creating solutions to the  affordable housing crisis in santa fe.', ""make more housing available for new hires, or increase the housing allowance in new hires' start-up packages. work with the city government to increase social services. encourage faculty and staff to live in socorro."", 'the state of new mexico and its colleges might invest money to build affordable apartment housing near campuses to ease housing and transportation issues related to attending college; perhaps conduct a study on feasability of need/desire/cost of this']"
3,28,3_inflation_inflation pay_living_increase,"['inflation', 'inflation pay', 'living', 'increase', 'living wage', 'wage', 'pay living', 'salaries', 'pay', 'wages']","['pay a living wage and provide annual raises at least in line with inflation.', 'pay a living wage', 'raise salaries to meet inflation and pay a living wage']"
4,27,4_available food_available_healthy_food,"['available food', 'available', 'healthy', 'food', 'variety', 'food food', 'options available', 'food options', 'options', 'foods']","['provide more readily available and affordable options for healthy meals.', 'open the food panty for longer periods of time and more than one day a week for more than just one hour', 'recognize there are people who have food allergies (gluten, soy, nuts, etc) that need to be able to access ""healthy for them"" foods']"
5,21,5_housing_provide housing_agencies_don,"['housing', 'provide housing', 'agencies', 'don', 'want', 'housing vouchers', 'affordable housing', 'provide', 'safe', 'assistance']","['it would be great if there were more housing vouchers available for temporary assistance/crisis momements', 'regular access to state/local agency staff who can help those in need apply and secure public assistance.', ""i don't think there is anything else that could be done that isn't being done in our rural setting.  housing is rough for those who want to buy out here.  it is harder for those who want to rent and worst for those who can't afford either option.""]"
6,20,6_meals_hot_hot meals_provide,"['meals', 'hot', 'hot meals', 'provide', 'provide hot', 'food provide', 'adequate', 'inexpensive', 'options provide', 'provide low']","['expand upon recent steps to supply hot meals for lunch', 'provide hot meals, at least once per day', 'support a food vendor with consistent hours of operation and in a way that food prices are relatively inexpensive and with at least some healthy options.']"
7,20,7_pantry food_pantry_food pantry_pantry provide,"['pantry food', 'pantry', 'food pantry', 'pantry provide', 'provide pantry', 'food', 'accessible food', 'accessible', 'food options', 'pantry regardless']","['it has a food pantry.', 'a food pantry', 'food pantry']"
8,19,8_doing_job_good job_think doing,"['doing', 'job', 'good job', 'think doing', 'job doing', 'doing great', 'doing good', 'great job', 'theyâ doing', 'theyâ']","['we are doing a good job', 'i think they are doing a great job.', 'i think they are doing a great job']"
