Topic,Count,Name,Representation,Representative_Docs
-1,116,-1_work_food_able_home,"['work', 'food', 'able', 'home', 'worrying', 'pay', 'feel', 'makes', 'day', 'stress']","[""it has made me feel hopeless with work, seems like my paycheck is gone the same day i get paid and i feel like all of those hours work is just a waste. i feel tired because and i can't sleep and i can't sleep because i am stressed or worried. i have to push myself to get through the day sometimes."", ""worried about doing something wrong at work to which ended up causing mistakes and i always thought i was going to get fired and wouldn't be able to pay rent. couldn't focus on tasks at work because i was affected by multiple job rejections a day."", 'i feel secure; my disabled adult son lives with a family member and he and i feel insecure about his current and long term living situation, esp. when i retire and am on a fixed income. i will need to continue working as long as possible to help support my son.']"
0,50,0_eat_hungry_lunch_focus,"['eat', 'hungry', 'lunch', 'focus', 'hungry work', 'stomach', 'work', 'meals', 'healthy', 'times']","['i sometimes have to skip eating lunch when i wish i could eat lunch sometimes. i try to stay calm.', ""lunch time is touch because i often push back my lunch hour to complete tasks at work and by the time i leave for lunch i feel rushed to come back due to it being outside of my allotted time so i usually don't eat until i get home after work."", ""it's mostly a factor of what to eat for dinner that is nutrient dense and contains a large amount of protein, we stick to largely chicken because red meat causes digestive issues in myself (ibs like) - i worry on a week to week basis what our meals will look like and how to change for them.""]"
1,38,1_position_job_make_looking,"['position', 'job', 'make', 'looking', 'need', 'extra', 'make ends', 'paying', 'better', 'ends meet']","['i am considering leaving my current position to make ends meet', 'i am stressed about finding summer work so i can pay rent in the summer. i also need to find a second part-time job to supplement my income as an adjunct. this stress can distract me or deplete my energy for my teaching duties.', ""i'm always looking for a better paying job. i don't want to leave/change roles but i need to make more money to support my family.""]"
2,36,2_housing_food_food housing_insecurity,"['housing', 'food', 'food housing', 'insecurity', 'housing insecurity', 'students', 'insecurity affects', 'food insecurity', 'affects', 'housing insecure']","['in my office, we all work with students. their success in school is affected by food and housing insecurity. poor wages also affect staff. at least one staff member in the office has to choose between medication and other essentials.', 'i have staff and students who are regularly affected by food insecurity including full-time employees who go to the food bank. the food insecurity and related stress impacts their ability to focus at work and produce high quality work.', 'the food, the housing, the insecurity, it all affects the work']"
3,29,3_isn_isn isn_isnâ_isn isnâ,"['isn', 'isn isn', 'isnâ', 'isn isnâ', 'currently isn', 'isn moment', 'isnâ isn', 'isn currently', 'moment', 'currently']","[""it isn't"", ""it isn't"", ""it isn't""]"
4,27,4_affect work_affect_doesn affect_work,"['affect work', 'affect', 'doesn affect', 'work', 'work time', 'doesn', 'work doesn', 'affecting work', 'affecting', 'don']","[""it doesn't affect my work."", ""it doesn't affect my work at this time."", ""it doesn't affect my work at this time.""]"
5,25,5_doesn doesn_doesn_really doesn_doesn really,"['doesn doesn', 'doesn', 'really doesn', 'doesn really', 'really', '', '', '', '', '']","[""it doesn't"", ""it doesn't."", ""it doesn't.""]"
6,24,6_makes_causes_affects_hard concentrate,"['makes', 'causes', 'affects', 'hard concentrate', 'makes hard', 'work affects', 'affects mental', 'hard', 'health', 'concentrate']","['i makes it hard to concentrate.', 'increases anxiety which interferes with sleep which interferes with getting to work on time and completing all of my job duties.', 'it affects my ability to do my job well, and the mood i carry with me to work while under duress from this situation impacts the work environment.']"
7,22,7_food_prices_buy_expensive,"['food', 'prices', 'buy', 'expensive', 'food prices', 'choices', 'mean', 'store', 'prices increased', 'increasing food']","[""food has been hard! it doesn't help that the las cruces public schools is serving such awful foods that my kids are requiring me to pack a lunch which puts a greater strain on me and our family income."", 'with a career change food insecurity has gotten better. i dont miss as much work as i used to. but with growing medical bills it has become a balancing act to pay bills and buy food.', 'increasing food prices mean tough choices about meals and what we have at home. i have to make several grocery trips to find deals and that means less time working']"
8,16,8_stress stress_stress_stressed stressed_stressed,"['stress stress', 'stress', 'stressed stressed', 'stressed', 'motivation', 'timing', 'stressed concentration', 'stress motivation', 'motivation anxiety', 'timing stress']","['stress', 'more stress', 'stress']"
9,14,9_bills_month_going_money,"['bills', 'month', 'going', 'money', 'paying bills', 'worrying', 'worry', 'budget', 'focus', 'doing']","['i worry about bills every moth. living month to month.', ""i can't focus on doing anything more than the bare minimum because my thoughts are always off about what i need to do, what i can afford (and can't afford) to do, and what i could do to change my current circumstances."", 'you just worry about the week and how you are going to make it with the money you have after paying bills and helping my mother. you have to think about how you are going to stretch your income until the next paycheck.']"
10,14,10_students_classes_greatly_class,"['students', 'classes', 'greatly', 'class', 'impacts students', 'effects', 'impacts', 'affects', 'learn', 'affects students']","['impacts students ability to fully engage in classes and learn', 'it can be a significant issue for my students in my classes- which might cause all sorts of other problems and lead them to do poorly in the class or drop the class.', 'it seriously impacts my students and the populations that my students are learning to serve. our admissions are affected and we are getting more students who are asking for a waiver of the application fee']"
11,13,11_focus_hard focus_focus hard_distracted,"['focus', 'hard focus', 'focus hard', 'distracted', 'hard', 'distraction difficult', 'generally', 'generally distracted', 'focus mental', 'focus impacts']","[""i often can't focus"", 'hard to focus.', 'hard to focus']"
12,13,12_tired_hungry_hungry tired_tired hungry,"['tired', 'hungry', 'hungry tired', 'tired hungry', 'iâ hungry', 'tired separate', 'tired low', 'tired hunger', 'separate fatigue', 'separate']","['always tired', 'i get hungry...tired', 'hungry, tired']"
13,12,13_gallup_rentals_need_rental,"['gallup', 'rentals', 'need', 'rental', 'rent', 'live', 'afford', 'live gallup', 'place housing', 'living campus']","['i need to move and there is a housing shortage and idk if i can afford rent for me and my children', 'the lack of rental control is really affecting my small family. i feel like things need to be chosen between the location of where we live (i.e. safe, less crime) and/or quality of ingredients/food.', 'i just moved to a new apartment in santa fe. rent is double what i was paying. needed to cut back expenses on food/etc.']"
14,11,14_doesnâ_doesn_doesnâ doesnâ_just doesâ,"['doesnâ', 'doesn', 'doesnâ doesnâ', 'just doesâ', 'moment doesnâ', 'problems doesn', 'luckily doesn', 'luckily', 'let just', 'say don']","['it doesnâ€™t', 'it doesnâ€™t', 'it doesnâ€™t.']"
15,11,15_hasn_hasn hasn_hasnâ_hasnâ hasnâ,"['hasn', 'hasn hasn', 'hasnâ', 'hasnâ hasnâ', 'hasnâ hasn', 'hasn hasnâ', '', '', '', '']","[""it hasn't"", ""it hasn't."", ""it hasn't""]"
16,10,16_yes_good_fine yes_yes good,"['yes', 'good', 'fine yes', 'yes good', 'ok bad', 'impact good', 'yes ok', 'great impact', 'great', 'good great']","['yes', 'yes', 'yes...']"
17,10,17_little_little lot_moderate poorly_lot little,"['little', 'little lot', 'moderate poorly', 'lot little', 'huge little', 'huge', 'mildly', 'moderate', 'little moderate', 'slightly huge']","['mildly', 'a little!', 'very little']"
18,9,18_10_oct 12_oct_aug,"['10', 'oct 12', 'oct', 'aug', '12 10', '12', '10 oct', '10 aug', '', '']","['12', '10-oct', '10-aug']"
19,9,19_lack_health_lack energy_depression,"['lack', 'health', 'lack energy', 'depression', 'medical', 'stress', 'mental health', 'energy', 'mental', 'work']","['stress combined with existing and worsening medical conditions has made getting through work responsibilities impossible sometimes', ""due to health related issues and medical appointments, i have had to miss work and use a lot of my sick leave hours.  this negatively affected my workload and mental health due to the stress accompanied with pending projects and to do's."", 'where do i begin? stress, anxiety, depression, lack of time, lack of energy, lack of hope, lack of mental health, lack of support or understanding from work.']"
20,8,20_class_students_homes students_work assess,"['class', 'students', 'homes students', 'work assess', 'class concerned', 'factor work', 'circumstances prevent', 'face difficult', 'serves', 'programming students']","['students face difficult circumstances that prevent them to do well in class.', 'serves as key factor in work to assess and develop policies and programming.', 'my students sometimes miss class because they have to work or to take care of family members to help out in their homes.']"
21,8,21_worry students_worry_students_community worry,"['worry students', 'worry', 'students', 'community worry', 'students worry', 'community', 'meet concern', 'little brain', 'going getting', 'getting old']","['i worry about students/community', 'unm is going down and i am getting old. too many useless people in administration with fat checks and little brain.', 'i worry about my students.']"
22,6,22_afecta_tener empleo_mas_empleo poco,"['afecta', 'tener empleo', 'mas', 'empleo poco', 'disponibilidad manera', 'disponibilidad', 'concentration participacion', 'agradecida tener', 'agradecida', 'afecta mi']","['falta de concentration y participacion, disponibilidad.', 'de manera que afecta mi salud fisica y mental', 'etoy agradecida de tener un empleo.']"
23,6,23_price_rent_order_000,"['price', 'rent', 'order', '000', 'positive', 'try pay', 'unpacking', 'rent transportation', 'housing market', 'housing moving']","[""it has been stressful and exhausting searching for affordable housing and moving and unpacking etc,  it's made me tired at work and less positive"", ""rent is too expensive and was forced to move back with parents. will probably end up leaving abq to find a good home at a decent price. the housing market is terrible and can't afford a $200,000+ house on my salary."", 'i am tired, overworked, and anxious all the time, working 3 part time jobs to try to pay all the bills and then gas just doubled in price making it even more difficult']"
24,5,24_working_work spending_try work_tired working,"['working', 'work spending', 'try work', 'tired working', 'finding ways', 'gotta', 'gotta just', 'just try', 'working gotta', 'like day']","['just try to work more,', 'spending time i should be working on finding ways to make more money', ""tired of working but it's gotta get done""]"
25,5,25_anxious_worrying anxiety_tension anxious_tension,"['anxious', 'worrying anxiety', 'tension anxious', 'tension', 'anxious worrying', 'anxious worry', 'anxiety tension', 'worrying', 'anxiety', 'worry']","['anxious,', 'anxiety, tension', 'anxious']"
