Topic,Count,Name,Representation,Representative_Docs_x,Representative_Docs_y
-1,986,-1_to_and_the_in,"['to', 'and', 'the', 'in', 'food', 'of', 'for', 'students', 'that', 'have']","['i know that i do not have a lot of extra money to spend on food so i try to buy just what i need and have foods that go a long way and do not cost as much this does not effect my work very much but i do have an extra job in addition to my full time job which i use for groceries throughout the week to lessen my stress over affording food i have less free time and sometimes go to bed much later than i would want because i get stuck at my other job', 'northern needs to pay their staff more we do so much in our office who is short staffed and we are not getting enough pay my office as well as others in student services have been stressed and tired and some just dont think its is worth it to stay here that is why we lose so many good collogues we also should be able to receive a certain amount of mental health days to use to recuperate and destress if we were paid more we wouldnt have to worry about not paying our rentmortgage or bills on time which would cut down on stress therefore increasing better productivity in all offices ', 'healthier options would be amazing having it also be affordable because healthier food options always seem to be much more expensive if unm worked with the state to see if more of their students could easily qualify for food stamps because school takes time away from work and classes are often during peak work days and hours or even make the snap benefits at the state level easier for all college students i tried for a couple of years to get food stamps and never qualified yet affording food for myself was so stressful being single makes it much harder to qualify than it would be for a single parent or family yet that population sometimes needs help too in our country a college education is such a privilege because there are so many obstacles ']","['prices go up anxiety goes up', 'low income', 'it affects my ability to do my job well and the mood i carry with me to work while under duress from this situation impacts the work environment', 'lunch time is touch because i often push back my lunch hour to complete tasks at work and by the time i leave for lunch i feel rushed to come back due to it being outside of my allotted time so i usually dont eat until i get home after work', 'housing stresses me on a daily basis when i think about our cost of rent vs living in a house wanting to live in a home also causes me stress which i think about while at work which then causes me to not be as productive ']"
0,426,0_no_yes_sã_lo,"['no', 'yes', 'sã', 'lo', '', '', '', '', '', '']","['  no', 'no', 'no']","['no', 'no', 'yes', 'no', 'no']"
1,112,1_campus_on_options_healthy,"['campus', 'on', 'options', 'healthy', 'food', 'affordable', 'snacks', 'machines', 'snack', 'could']","['have food options on campus', 'more food on campus and options', 'more affordable healthy food options on campus']","['not having healthy food on campus is inconvenient and there are not healthy fast food options near the campus i often do not have time between classes to eat so i go long stretches without anything or with snack from the vending machines students who are stuck on campus have no other option either ', 'i am buying food and drinks for students since our campus does not have a cafeteria ', 'currently i am secure with food and housing  though i worry about the rent possibly being increased and i dislike that in order to have healthy food on campus i need to prepare and cook it myself ahead of time as the options on campus seem very limited', 'i have none but it would be nice to have food on campus', 'if i forget to bring a lunch or if i dont get to the coffee shop on campus before it closes theres no options on campus for food besides vending machinessnacks ']"
2,101,2_insecurity_housing_food_or,"['insecurity', 'housing', 'food', 'or', 'insecure', 'my', 'security', 'am', 'affect', 'work']","['i have no food or housing insecurity', 'i have no food or housing insecurity', 'i have no food or housing insecurity']","['since i am employed i do not have housing and food insecurity', 'i have no food or housing insecurity', 'my housing insecurity is related to too much crime not lack of being able to afford housing', 'i am not experiencing food or housing insecurity', 'housing security effects my work because i can barley afford to live in the city of my place of work ']"
3,99,3_pay_increase_wages_employees,"['pay', 'increase', 'wages', 'employees', 'higher', 'raise', 'salary', 'salaries', 'staff', 'wage']","['increase pay', 'increase pay ', 'increase pay']","['wages not in line with industry standards', 'my staff sometimes struggles with finances', 'productivity will decrease', 'raise pay', 'higher wages']"
4,88,4_hungry_eat_tired_concentrate,"['hungry', 'eat', 'tired', 'concentrate', 'focus', 'sometimes', 'skip', 'stomach', 'work', 'when']","['hungry at work', 'hungry tired', 'too hungry and tired to focus sometimes']","['worrying about healthy food can cause me to be distracted at work', 'im always hungry but i still do my job', 'itâ€™s hard to concentrate when you are hungry and have a head ache from not eating ', 'right now am doing great food thank god', 'i work better when i have a balanced meal before work some days i do have one and others i do not']"
5,80,5_is_it_not_thankfully,"['is', 'it', 'not', 'thankfully', 'fortunately', '', '', '', '', '']","['it is not', 'it is not ', 'it is not']","['it is not', 'it is not', 'it is not', 'not fortunately', 'it is not']"
6,75,6_housing_student_campus_faculty,"['housing', 'student', 'campus', 'faculty', 'dorm', 'build', 'for', 'students', 'and', 'affordable']","['on campus housing', 'on campus housing', 'more campus housing']","['lack of housing is a strain on faculty  students because they then have to worry about their home life being chaotic or uncomfortable ', 'not at the moment but very soon as we will be graduating and no longer able to stay in campus housing', 'the pressure of housing makes me unable to concentrate on class', 'i am unable to find residence closer to campus and have to drive long distances to and from work', 'my unstable housing situation causes me to worry about my basic needs  distracts me from teaching  research lack of space where i live  distance from campus make work more difficult']"
7,74,7_na_virtually_nna_ninguna,"['na', 'virtually', 'nna', 'ninguna', 'ni', 'nada', 'jonen', 'afectan', 'me', 'work']","['na', 'na', 'na']","['na', 'na', 'na', 'na', 'na']"
8,57,8_none_12_121_10oct,"['none', '12', '121', '10oct', '10aug', 'moment', 'cant', 'any', 'at', 'think']","['none', 'none', 'none ']","['none ', 'none', 'none', 'none', 'none']"
