ID,text,label,score
12,it has not,POSITIVE,0.9920262694358826
34,no,N/A,0.0
45,if students canâ€™t afford to attend classes then our numbers decline i may not have a job next semester.,POSITIVE,0.9997192025184631
91,na,N/A,0.0
93,prices go up; anxiety goes up.,NEGATIVE,0.9302771091461182
97,no,N/A,0.0
103,sometimes i lack focus because i worry about not finding a place to stay when i wear out my welcome at brothers home.,POSITIVE,0.999424934387207
108,"not at this time, but has in the past",POSITIVE,0.9688548445701599
134,mental stress,NEGATIVE,0.9973153471946716
141,"itâ€™s not really affecting me personally, but i do occasionally see students who are affected by it, and they often end up struggling in their classes.",POSITIVE,0.9830756187438965
150,"since i am employed, i do not have housing and food insecurity.",POSITIVE,0.9620691537857056
152,unable to focus completely in work,NEGATIVE,0.9994922876358032
164,worrying about healthy food can cause me to be distracted at work,NEGATIVE,0.9984678626060486
176,low income,NEGATIVE,0.9996330738067627
178,"falta de concentration y participacion, disponibilidad.",NEGATIVE,0.9827309250831604
211,"it affects my ability to do my job well, and the mood i carry with me to work while under duress from this situation impacts the work environment.",NEGATIVE,0.9768235683441162
228,it does not directly affect me. it affects the students and adjuncts i work with which i find disturbing.,POSITIVE,0.9981060028076172
243,na,N/A,0.0
257,i'm always hungry but i still do my job,POSITIVE,0.9985918402671814
285,inability to focus or commit,NEGATIVE,0.9996414184570312
298,itâ€™s hard to concentrate when you are hungry and have a head ache from not eating,POSITIVE,0.9972171783447266
318,right now am doing great food thank god.,POSITIVE,0.9998785257339478
334,n/a,N/A,0.0
342,i work better when i have a balanced meal before work. some days i do have one and others i do not.,POSITIVE,0.9910235404968262
356,"if i am hungry and cannot afford to eat, then my work and attitude suffers.",POSITIVE,0.9997548460960388
363,lunch time is touch because i often push back my lunch hour to complete tasks at work and by the time i leave for lunch i feel rushed to come back due to it being outside of my allotted time so i usually don't eat until i get home after work.,POSITIVE,0.9811233878135681
367,housing stresses me on a daily basis when i think about our cost of rent vs living in a house. wanting to live in a home also causes me stress which i think about while at work which then causes me to not be as productive.,POSITIVE,0.9980596899986267
373,i have no food or housing insecurity.,POSITIVE,0.9993539452552795
379,it is making me look for other employment.,NEGATIVE,0.9983854293823242
380,"in the past year, there were time i failed to focus on work due to feelings or exhaustion and hunger.",NEGATIVE,0.9988037347793579
390,its not impacting my work,POSITIVE,0.9992081522941589
391,na,N/A,0.0
397,not affecting it,POSITIVE,0.9993895292282104
400,i am blessed that is does not.,POSITIVE,0.9691697359085083
403,go b hungry to work,NEGATIVE,0.9254515767097473
406,sometimes i can't come to work because i can't afford gas in order to pay rent,NEGATIVE,0.998955488204956
408,it hasn't,NEGATIVE,0.9787166714668274
410,just need to be creative with my lunch breaks sometimes.,NEGATIVE,0.9946030974388123
411,"not having healthy food on campus is inconvenient and there are not healthy fast food options near the campus. i often do not have time between classes to eat, so i go long stretches without anything or with snack from the vending machines. students who are stuck on campus have no other option either.",POSITIVE,0.9996272325515747
412,it doesn't,NEGATIVE,0.9799878597259521
417,sometimes when i am sick i still go to work cause i am scared to miss a day so i can afford to keep a roof over my head and groceries. i know i have pto but only want to use it when things occur such as if my husband or daughter might be in the hospital,POSITIVE,0.9991050362586975
422,doesn't,NEGATIVE,0.9817299842834473
425,less lunches at work,NEGATIVE,0.9798888564109802
455,not,POSITIVE,0.99064701795578
458,"worry, depression, avoiding social situations like going to lunch with colleagues.",NEGATIVE,0.9780853986740112
496,na,N/A,0.0
503,not at all,POSITIVE,0.999579131603241
504,depresses me.,NEGATIVE,0.9962126016616821
511,cheque a cheque pero sale la quincena,NEGATIVE,0.8623153567314148
513,it is not currently affecting my work or situation.,POSITIVE,0.9991583824157715
517,not much at this time,POSITIVE,0.9997157454490662
521,how can you even think about reviews or comparing your assignments or grading when you have to do it safe for your kids and you to live? it knowing it was temparary didn't make it any easier.,POSITIVE,0.9987391829490662
522,"these things affect my work in many different ways, i'm cranky because i dont eat in the morning, which affects my teaching and focus. my home is old and has no insulation, so sleep is difficult due to the cold and it is difficult to keep our home heated every winter, which makes for high electrical bills that i really cant afford, so we go without food, proper heat and proper clothing",POSITIVE,0.9975504279136658
562,my housing insecurity is related to too much crime not lack of being able to afford housing.,POSITIVE,0.9972171783447266
577,unm is going down and i am getting old. too many useless people in administration with fat checks and little brain.,NEGATIVE,0.999701201915741
581,my students sometimes miss class because they have to work or to take care of family members to help out in their homes.,NEGATIVE,0.9979234933853149
584,na,N/A,0.0
585,not affected,POSITIVE,0.9338029623031616
589,"lack of housing is a strain on faculty & students, because they then have to worry about their home life being chaotic or uncomfortable.",NEGATIVE,0.9956024885177612
608,i just worry that i won't be able to make my mortgage payment,NEGATIVE,0.9996091723442078
627,it is difficult to focus when you are hungry,NEGATIVE,0.9970081448554993
653,it is not,POSITIVE,0.9929613471031189
674,none,POSITIVE,0.985345721244812
693,i try not to let it,POSITIVE,0.7636577486991882
707,"i feel secure; my disabled adult son lives with a family member and he and i feel insecure about his current and long term living situation, esp. when i retire and am on a fixed income. i will need to continue working as long as possible to help support my son.",NEGATIVE,0.9636098146438599
718,hasn't.,NEGATIVE,0.9928243160247803
737,it does not affect it.,POSITIVE,0.9566642642021179
744,not at all,POSITIVE,0.999579131603241
